Object Name,Field Label,Field Name,Type,External ID,Length,Digits,Precision,Formula,Reference To,Picklist?
APXTConga4__Conga_Composer_Settings__c,Record ID,Id,id,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Deleted,IsDeleted,boolean,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Name,Name,string,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Location,SetupOwnerId,reference,1,43,0,0,,Organization,0
APXTConga4__Conga_Composer_Settings__c,Created Date,CreatedDate,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Created By ID,CreatedById,reference,1,43,0,0,,User,0
APXTConga4__Conga_Composer_Settings__c,Last Modified Date,LastModifiedDate,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Last Modified By ID,LastModifiedById,reference,1,43,0,0,,User,0
APXTConga4__Conga_Composer_Settings__c,System Modstamp,SystemModstamp,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Comments,APXTConga4__Comments__c,textarea,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Production Org Id,APXTConga4__Production_Org_Id__c,string,1,43,0,0,,"",0
APXTConga4__Conga_Composer_Settings__c,Server Endpoint URL,APXTConga4__Server_Override__c,string,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Record ID,Id,id,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Owner ID,OwnerId,reference,1,43,0,0,,Group,0
APXTConga4__Conga_Email_Staging__c,Deleted,IsDeleted,boolean,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Conga Email Staging Name,Name,string,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Created Date,CreatedDate,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Created By ID,CreatedById,reference,1,43,0,0,,User,0
APXTConga4__Conga_Email_Staging__c,Last Modified Date,LastModifiedDate,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Last Modified By ID,LastModifiedById,reference,1,43,0,0,,User,0
APXTConga4__Conga_Email_Staging__c,System Modstamp,SystemModstamp,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Last Activity Date,LastActivityDate,date,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,HTML Body,APXTConga4__HTMLBody__c,textarea,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Subject,APXTConga4__Subject__c,textarea,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,Text Body,APXTConga4__TextBody__c,textarea,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,WhatId,APXTConga4__WhatId__c,string,1,43,0,0,,"",0
APXTConga4__Conga_Email_Staging__c,WhoId,APXTConga4__WhoId__c,string,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Record ID,Id,id,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Owner ID,OwnerId,reference,1,43,0,0,,Group,0
APXTConga4__Conga_Email_Template__c,Deleted,IsDeleted,boolean,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Email Template Name,Name,string,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Created Date,CreatedDate,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Created By ID,CreatedById,reference,1,43,0,0,,User,0
APXTConga4__Conga_Email_Template__c,Last Modified Date,LastModifiedDate,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Last Modified By ID,LastModifiedById,reference,1,43,0,0,,User,0
APXTConga4__Conga_Email_Template__c,System Modstamp,SystemModstamp,datetime,1,43,0,0,,"",0
APXTConga4__Conga_Email_Template__c,Last Activity Date,LastActivityDate,date,1,43,0,0,,"",0
